,2020,2019,2018,2017,2016,2015,2010,2005,2000,1995,1990,1985,1980,1975,1970,1965,1960,1955
China,"1,439,323,776","1,433,783,686","1,427,647,786","1,421,021,791","1,414,049,351","1,406,847,870","1,368,810,615","1,330,776,380","1,290,550,765","1,240,920,535","1,176,883,674","1,075,589,361","1,000,089,235","926,240,885","827,601,394","724,218,968","660,408,056","612,241,554"
India,"1,380,004,385","1,366,417,754","1,352,642,280","1,338,676,785","1,324,517,249","1,310,152,403","1,234,281,170","1,147,609,927","1,056,575,549","963,922,588","873,277,798","784,360,008","698,952,844","623,102,897","555,189,792","499,123,324","450,547,679","409,880,595"
United States,"331,002,651","329,064,917","327,096,265","325,084,756","323,015,995","320,878,310","309,011,475","294,993,511","281,710,909","265,163,745","252,120,309","240,499,825","229,476,354","219,081,251","209,513,341","199,733,676","186,720,571","171,685,336"
Indonesia,"273,523,615","270,625,568","267,670,543","264,650,963","261,556,381","258,383,256","241,834,215","226,289,470","211,513,823","196,934,260","181,413,402","164,982,451","147,447,836","130,680,727","114,793,178","100,267,062","87,751,068","77,273,425"
Pakistan,"220,892,340","216,565,318","212,228,286","207,906,209","203,631,353","199,426,964","179,424,641","160,304,008","142,343,578","123,776,839","107,647,921","92,191,510","78,054,343","66,816,877","58,142,060","50,917,975","44,988,690","40,488,030"
Brazil,"212,559,417","211,049,527","209,469,323","207,833,823","206,163,053","204,471,769","195,713,635","186,127,103","174,790,340","162,019,896","149,003,223","135,274,080","120,694,009","107,216,205","95,113,265","83,373,530","72,179,226","62,533,919"
Nigeria,"206,139,589","200,963,599","195,874,683","190,873,244","185,960,241","181,137,448","158,503,197","138,865,016","122,283,850","107,948,335","95,212,450","83,562,785","73,423,633","63,374,298","55,982,144","50,127,921","45,138,458","41,086,100"
Bangladesh,"164,689,383","163,046,161","161,376,708","159,685,424","157,977,153","156,256,276","147,575,430","139,035,505","127,657,854","115,169,930","103,171,956","90,764,183","79,639,491","70,066,301","64,232,482","55,385,112","48,013,504","42,086,301"
Russia,"145,934,462","145,872,256","145,734,038","145,530,082","145,275,383","144,985,057","143,479,274","143,672,116","146,404,903","148,227,466","147,531,561","142,957,284","138,053,150","133,804,858","130,148,653","126,503,736","119,871,700","111,355,300"
Mexico,"128,932,753","127,575,529","126,190,788","124,777,324","123,333,376","121,858,258","114,092,963","106,005,203","98,899,845","91,663,285","83,943,132","75,983,485","67,761,372","59,607,953","51,493,565","44,123,853","37,771,859","32,350,596"
Japan,"126,476,461","126,860,301","127,202,192","127,502,725","127,763,265","127,985,133","128,542,353","128,326,116","127,524,174","126,365,484","124,505,240","121,883,482","117,816,940","112,413,359","104,929,251","98,447,002","93,673,615","89,018,257"
Ethiopia,"114,963,588","112,078,730","109,224,414","106,399,924","103,603,462","100,835,458","87,639,964","76,346,311","66,224,804","57,047,908","47,887,865","40,652,141","35,141,712","32,566,854","28,415,077","25,013,626","22,151,278","19,947,292"
Philippines,"109,581,078","108,116,615","106,651,394","105,172,925","103,663,816","102,113,212","93,966,780","86,326,250","77,991,755","69,784,088","61,895,160","54,275,822","47,357,743","41,285,742","35,803,594","30,909,988","26,269,734","22,177,058"
Egypt,"102,334,404","100,388,073","98,423,598","96,442,591","94,447,073","92,442,547","82,761,235","75,523,569","68,831,561","62,334,034","56,134,475","49,258,732","43,309,063","38,549,142","34,513,850","30,433,022","26,632,894","23,223,124"
Vietnam,"97,338,579","96,462,106","95,545,962","94,600,648","93,640,422","92,677,076","87,967,651","83,832,661","79,910,412","74,910,461","67,988,862","60,896,721","54,281,846","48,718,189","43,404,793","37,858,951","32,670,039","28,147,443"
DR Congo,"89,561,403","86,790,567","84,068,091","81,398,764","78,789,127","76,244,544","64,563,854","54,785,903","47,105,826","41,576,234","34,612,023","29,881,229","26,358,908","22,903,581","20,011,036","17,369,883","15,248,251","13,517,513"
Turkey,"84,339,067","83,429,615","82,340,088","81,116,450","79,827,871","78,529,409","72,326,988","67,903,469","63,240,194","58,486,456","53,921,760","49,133,937","43,975,971","39,277,258","34,876,303","30,972,994","27,472,345","24,270,600"
Iran,"83,992,949","82,913,906","81,800,188","80,673,883","79,563,989","78,492,215","73,762,519","69,762,347","65,623,405","61,442,664","56,366,217","47,347,186","38,650,246","32,729,772","28,513,866","24,954,873","21,906,914","19,294,127"
Germany,"83,783,942","83,517,045","83,124,418","82,658,409","82,193,768","81,787,411","80,827,002","81,602,741","81,400,882","81,138,659","79,053,984","77,691,595","78,283,100","78,856,039","78,578,385","76,258,032","73,414,239","71,537,459"
Thailand,"69,799,978","69,625,582","69,428,453","69,209,810","68,971,308","68,714,511","67,195,028","65,416,189","62,952,642","59,467,274","56,558,186","52,026,901","47,374,472","42,326,312","36,884,536","31,822,660","27,397,207","23,711,132"
United Kingdom,"67,886,011","67,530,172","67,141,684","66,727,461","66,297,944","65,860,146","63,459,808","60,287,954","58,923,309","57,932,453","57,134,391","56,413,553","56,209,171","56,152,333","55,573,453","54,240,850","52,370,602","51,063,902"
France,"65,273,511","65,129,728","64,990,511","64,842,509","64,667,596","64,453,200","62,879,530","61,120,127","59,015,096","57,801,892","56,666,849","55,254,848","53,868,009","52,688,576","50,763,920","48,746,652","45,673,146","43,411,367"
Italy,"60,461,826","60,550,075","60,627,291","60,673,701","60,663,060","60,578,494","59,325,229","58,281,212","56,692,178","57,174,408","57,048,236","56,936,774","56,349,349","55,265,284","53,518,969","51,677,257","49,699,951","48,335,578"
Tanzania,"59,734,218","58,005,463","56,313,438","54,660,339","53,049,230","51,482,633","44,346,525","38,450,320","33,499,180","29,649,135","25,203,845","21,633,796","18,538,259","15,885,229","13,535,481","11,634,832","10,052,152","8,729,662"
South Africa,"59,308,690","58,558,270","57,792,518","57,009,756","56,207,646","55,386,367","51,216,964","47,880,601","44,967,708","41,435,758","36,800,509","32,678,874","28,556,769","25,195,187","22,069,776","19,384,841","17,099,840","15,206,502"
Myanmar,"54,409,800","54,045,420","53,708,320","53,382,523","53,045,201","52,680,726","50,600,818","48,949,924","46,719,701","43,901,598","41,335,199","37,977,086","34,224,313","30,611,095","27,269,069","24,259,359","21,736,942","19,550,071"
Kenya,"53,771,296","52,573,973","51,392,565","50,221,142","49,051,534","47,878,336","42,030,676","36,624,895","31,964,557","27,768,296","23,724,579","19,877,083","16,417,197","13,575,907","11,301,394","9,530,173","8,120,080","6,987,658"
