,2020,2019,2018,2017,2016,2015,2010,2005,2000,1995,1990,1985,1980,1975,1970,1965,1960,1955
China,153,153,152,151,151,150,146,142,137,132,125,115,107,99,88,77,70,65
India,464,460,455,450,445,441,415,386,355,324,294,264,235,210,187,168,152,138
United States,36,36,36,36,35,35,34,32,31,29,28,26,25,24,23,22,20,19
Indonesia,151,149,148,146,144,143,133,125,117,109,100,91,81,72,63,55,48,43
Pakistan,287,281,275,270,264,259,233,208,185,161,140,120,101,87,75,66,58,53
Brazil,25,25,25,25,25,24,23,22,21,19,18,16,14,13,11,10,9,7
Nigeria,226,221,215,210,204,199,174,152,134,119,105,92,81,70,61,55,50,45
Bangladesh,"1,265","1,253","1,240","1,227","1,214","1,200","1,134","1,068",981,885,793,697,612,538,493,425,369,323
Russia,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,7,7
Mexico,66,66,65,64,63,63,59,55,51,47,43,39,35,31,26,23,19,17
Japan,347,348,349,350,350,351,353,352,350,347,342,334,323,308,288,270,257,244
Ethiopia,115,112,109,106,104,101,88,76,66,57,48,41,35,33,28,25,22,20
Philippines,368,363,358,353,348,342,315,290,262,234,208,182,159,138,120,104,88,74
Egypt,103,101,99,97,95,93,83,76,69,63,56,49,44,39,35,31,27,23
Vietnam,314,311,308,305,302,299,284,270,258,242,219,196,175,157,140,122,105,91
DR Congo,40,38,37,36,35,34,28,24,21,18,15,13,12,10,9,8,7,6
Turkey,110,108,107,105,104,102,94,88,82,76,70,64,57,51,45,40,36,32
Iran,52,51,50,50,49,48,45,43,40,38,35,29,24,20,18,15,13,12
Germany,240,240,238,237,236,235,232,234,234,233,227,223,225,226,225,219,211,205
Thailand,137,136,136,135,135,134,132,128,123,116,111,102,93,83,72,62,54,46
United Kingdom,281,279,278,276,274,272,262,249,244,239,236,233,232,232,230,224,216,211
France,119,119,119,118,118,118,115,112,108,106,103,101,98,96,93,89,83,79
Italy,206,206,206,206,206,206,202,198,193,194,194,194,192,188,182,176,169,164
Tanzania,67,65,64,62,60,58,50,43,38,33,28,24,21,18,15,13,11,10
South Africa,49,48,48,47,46,46,42,39,37,34,30,27,24,21,18,16,14,13
Myanmar,83,83,82,82,81,81,77,75,72,67,63,58,52,47,42,37,33,30
Kenya,94,92,90,88,86,84,74,64,56,49,42,35,29,24,20,17,14,12
South Korea,527,527,526,526,524,523,510,501,487,466,441,420,391,364,331,297,261,221
Colombia,46,45,45,44,43,43,41,38,36,33,30,27,24,22,19,17,14,12
Spain,94,94,94,94,93,94,94,88,82,80,79,78,76,72,68,64,61,58
Uganda,229,222,214,206,198,191,162,139,118,102,87,73,62,54,47,40,34,29
Argentina,17,16,16,16,16,16,15,14,13,13,12,11,10,9,9,8,7,7
Algeria,18,18,18,17,17,17,15,14,13,12,11,9,8,7,6,5,5,4
Sudan,25,24,24,23,23,22,20,18,15,14,11,10,8,7,6,5,4,4
Ukraine,75,76,76,77,77,78,79,81,84,88,89,88,86,84,81,78,74,69
Iraq,93,91,88,86,84,82,68,62,54,46,40,36,31,27,23,19,17,15
Afghanistan,60,58,57,56,54,53,45,39,32,28,19,18,20,19,17,15,14,13
Poland,124,124,124,124,124,124,125,125,126,126,124,121,116,111,107,102,97,89
Canada,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2
Morocco,83,82,81,80,79,78,72,68,65,60,56,50,45,40,36,32,28,24
Saudi Arabia,16,16,16,15,15,15,13,11,10,9,8,6,5,3,3,2,2,2
Uzbekistan,79,78,76,75,74,73,67,62,58,54,48,42,37,33,28,24,20,17
Peru,26,25,25,25,24,24,23,22,21,19,17,15,14,12,11,9,8,7
Angola,26,26,25,24,23,22,19,16,13,11,10,8,7,6,5,5,4,4
Malaysia,99,97,96,95,93,92,86,78,71,62,55,47,42,37,33,29,25,21
Mozambique,40,39,38,36,35,34,30,26,23,20,17,16,15,13,11,10,9,8
Ghana,137,134,131,128,125,122,109,96,85,75,65,56,49,44,38,34,29,25
Yemen,56,55,54,53,51,50,44,38,33,28,22,18,15,13,12,11,10,9
Nepal,203,200,196,193,190,188,188,180,167,151,132,118,105,94,84,77,70,65
Venezuela,32,32,33,33,34,34,32,30,27,25,22,20,17,15,13,11,9,8
Madagascar,48,46,45,44,43,42,36,32,27,23,20,17,15,13,11,10,9,8
Cameroon,56,55,53,52,51,49,43,38,33,29,25,21,18,16,14,12,11,10
Côte d'Ivoire,83,81,79,77,75,73,65,58,52,45,37,31,25,20,16,13,11,9
North Korea,214,213,212,211,210,209,204,199,190,182,169,157,145,135,120,104,95,84
