"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203335195.530726","206810055.865922","262463687.150838","291620111.731844","267882681.564246","296480446.927374","305515642.458101","296703351.955307","339418994.413408","392163687.150838","431287150.837989","474557541.899441","496345810.055866","495007262.569832","404204469.273743","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64405650870.9076","65628308404.6533","65958154913.1621","66467194368.5371","67872369115.5446","74895558477.8345","74737017454.176","75934300769.1257","69186573605.6237","67848320835.7076","76358923050.041","69478583827.86","72719457816.5692","94173459422.9357","118695702749.903","143453085033.401","161437988841.028","193031046194.706","217109376692.273","188769736464.289","232464828634.958","269616145170.382","269839468284.947","268490511693.501","269776945516.797","236187174884.729","227392619152.258","258331983179.492","274246127696.365","272534325408.741","238067383529.628",
"Afghanistan","AFG","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","965543405.088934","1025522428.00579","1370816288.90916","1664800141.445","1966653210.75191","2620448527.43316","2720982976.69379","2718781958.27531","3353912798.55545","4048927677.94701","4211951754.28412","4118852986.2879","4351470982.70287","4233261140.89528","1896225753.93281","1885075137.28168","2416830294.07246","2642847910.32118","2822635859.31995",
"Africa Western and Central","AFW","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","82931920409.4191","66421736039.4474","47650417877.4096","36249556426.2967","39796138075.5727","33694746720.1967","33890687703.1756","32304098729.0383","31904593023.3377","39687139651.744","38144261183.1848","38106374983.6781","29366604665.1179","26489544218.4724","35441831506.7389","40624004958.5637","40148348342.3269","35435594844.5636","38760800189.2856","45084971349.5138","41602276388.0903","44780888442.0542","55821359044.4447","74575477601.2804","89819408874.7461","108214591547.143","121729672712.756","155266458141.045","122202372330.41","158466307359.792","199320863068.305","211763621306.771","231898703961.754","232710863973.69","172011423349.508","145250077773.695","164976854558.887","196081872510.516","215575296109.314","212214415159.554",
"Angola","AGO","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3352592592.59259","5104837837.83784","4647794759.82533","3588874745.41752","4474253771.45519","6584562521.78676","5798058745.39281","8571519055.73602","9461574027.93062","12866467697.453","22331171893.6978","30438252763.2232","40389189578.1431","53348780922.8957","30974788503.962","43884484819.7663","62631865168.1805","72885404630.8711","72952284481.8029","67323882301.958","48723590535.4541","43122816968.9667","51497116673.4974","48580166008.9134","44696767123.1037","26822862012.649",
"Albania","ALB","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","555900588.427247","409011588.275392","390725059.539561","531180304.127444","675038886.728515","852498955.868022","1004680718.3179","1349879571.14245","1772143145.16522","2019589407.46148","2251420440.0663","2705669378.5878","3241078686.82847","2940446271.29833","2974271840.45674","3156236434.02401","2823526910.58399","2946364692.83386","2845221843.00341","2478197737.88382","2507690758.60402","2650596137.69941","3225183629.47406","3173722904.15727","2986852462.03405",
"Andorra","AND","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","85141600164.4346","109525431622.798","122808688778.085","125314615111.155","188592952344.105","280694997945.292","277219019949.753","223137115796.933","181213733078.933","174237249376.687","160848635240.236","134155795145.601","149377611430.065","145381125496.953","162621672718.812","336802983657.798","169429547832.446","187785589149.317","179618883026.775","187051328228.251","214864658370.392","248193687333.734","273834103987.058","239666097563.906","291451013054.949","381337400590.238","352019749021.129","352653143453.809","394947989974.775","490328273013.866","649441851939.677","785133086013.803","891063643537.283","1172169624943.67","871942944716.225","1072153085396.78","1332157223736.62","1443166016067.01","1431906461483.09","1397549088141.8","991143612242.553","922117325382.521","998967103924.327","1195525061657.04","1167202334566.42","900919026279.176",
"United Arab Emirates","ARE","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","10892636255.7746","13797778958.2859","16908257115.7738","16181545773.9202","22281101763.7655","31680422937.908","33725960228.8205","29443203486.7883","26283029147.3713","26259874693.544","24870607463.9063","17703078180.3323","19895668755.1076","19231272132.9338","22837646445.1103","29864342141.106","24115227458.4582","29993189866.5214","28635794061.5636","27434758921.2749","29943067284.1188","34112775810.4059","35815309180.0599","30287542545.9496","35484547311.096","50621375085.0919","51321443158.6113","52212933968.6862","61080190605.8543","76393192648.0599","100501837985.024","128612389380.531","141441797140.912","183031994554.118","131958611300.204","152227787365.555","203511132797.822","215199050565.01","214583053151.804","212713711994.554","157199136773.315","147990514989.789","164170098461.538","198580097018.38","185492637069.049","146658074469.287",
"Argentina","ARG","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","13722940987.1061","14202380230.1166","11493637302.0994","12434857435.1947","14811143096.9913","13353421858.1536","15299799237.7258","15831874374.511","22779001001.4911","31577221374.0778","26293432187.1455","26042050144.4694","27144799969.6517","26774837040.1755","30490501123.1046","31723447656.8833","31736843039.9318","34652778710.3286","43209876321.0791","31406000793.3823","34726667543.9361","41467777149.132","42030000333.6516","48572726893.3543","32454050322.8141","50917782540.73","62081175458.8359","70201396123.5615","64722201101.1011","68876935900","67865473300","72371587300","79596589500","79855462400","74264967000","73866930600","67828286700","29862244294.3788","41650893934.7656","47449347396.6465","56891104939.9563","67914347258.316","78827167842.031","94990190458.2193","84190456294.3594","107003102712.487","133668465000.852","133378346124.392","132518500700.684","127776703489.575","137702635919.615","122958567447.25","140195988951.077","124485103498.843","108700524778.047","90747788920.0372",
"Armenia","ARM","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2955048237.27362","2970437645.88013","2933785792.35708","2713125862.72591","2697399020.41299","2975183151.01786","3084157594.8383","3400956113.40401","3420107895.78676",
"American Samoa","ASM","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","8936229.62962963","9119388.14814815","12640255.9259259","17170822.962963","19683325.5555556","17116361.8518519","18617224.0740741","22746464.4444444","28260013.7037037","37634077.7777778","46541455.5555556","56751371.1111111","66924110.3703704","63911111.1111111","70159259.2592593","67314814.8148148","68007407.4074074","73829629.6296296","73288888.8888889","77614814.8148148","85166666.6666667","92137037.037037","103525925.925926","114788888.888889","103122222.222222","106244444.444444","113655555.555556","120055555.555556","148518518.518519","213614814.814815","232896296.296296","262011111.111111","239044444.444444","186137037.037037","165307407.407407","171418518.518519","185277777.777778","202314814.814815","219992592.592593","257700000","282155555.555556","338966666.666667","357133333.333333","289174074.074074",
"Australia","AUS","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89613697575.9908","90129503178.7144","87453664538.9525","83721191680.7195","86447595987.5476","97239382239.3822","104188163884.674","109768351854.75","101365393746.185","95845344028.0737","102191798028.01","89731136631.9631","93447572205.9439","112447874199.185","147111253378.859","171269733874.605","191703354297.694","219448064693.413","270401074306.177","251177293476.66","289199330573.417","370892240954.353","408141884924.727","397209397763.414","375385109703.479","320014144271.57","269422768962.003","311381702994.193","344846135958.453","352553282792.161","338094918889.932",
"Austria","AUT","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","14605788141.4436","17320512030.6386","20999963043.6843","24338708183.2218","27027995107.424","23118985657.5082","22641401145.4384","22571607936.2647","20473530018.5682","21126499733.9718","29967634970.7075","36943367435.7858","39359476206.397","38977665106.6043","49208014038.4848","51278419563.9364","56603670172.8024","53884636223.8259","57831282977.9545","69543237341.3402","68214413828.9576","61020577291.6902","62227345486.8831","61742861708.9282","55664427860.6965","55666541387.0246","58440071522.6802","71962099322.7991","82368822945.1204","85547680636.7367","91591092711.0777","107172488365.727","116008261315.365","103215823839.956","100069790283.185","109709047934.304","104951935685.606","109774788640.585","112110725864.802","96122240988.1411","100778252064.783","105771943628.268","115402127954.038","111685381997.647","110298303167.424",
"Azerbaijan","AZE","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","163064814.814815","504735000","329973566.878981","749291945.168234","1116470998.4889","1465688119.43294","1554277591.10881","1791504854.36893","2242959320.51855","2480725867.06754","2878111499.69142","3532125038.18348","4406940063.09148","7751956843.66406","13671143944.4818","21853280503.4378","32101144109.0555","24962055237.6213","31624595066.0354","40713815372.9264","41431135437.8819","42314085404.7164","40321050618.3858","23825785672.4575","18008961584.2577","20310887752.7307","24616764705.8824","23520411764.7059","17634235294.1176",
"Burundi","BDI","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","22827428.5714286","24670857.1428571","26640000","35382250.7685002","41843809.5238095","52971428.5714286","52653913.0434783","66701000","87303333.3333333","115147777.777778","107338888.888889","123223333.333333","144838888.888889","156820871.436256","124191796.842369","135949125.85964","145755452.395551","177768695.37067","160354713.486948","192295814.504591","196157776.415287","204701591.621537","205625598.767181","188884914.332784","181055397.505769","168078695.377125","102394715.111478","135139490.279552","131306413.754691","130258901.270495","135269797.549503","136544917.564882","130445349.294955","123518041.972253","149397628.234824","189160792.220842","195021092.977471","232672197.030751","248467813.025116","301413810.280649","312667504.801754","331117945.324828","367520237.009825","382078011.13607","419348016.634526","365230371.455965","333603863.113916","302111047.586428","296395614.43297","288303483.058736","303474208.024947",
"Belgium","BEL","Industry (including construction), value added (current US$)","NV.IND.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75018609742.7477","72064364820.8469","65981732070.3654","66107468326.2947","63831877264.0102","58918463239.3588","57508277404.9217","61170995670.9957","73717155756.2077","84616091383.1637","87037930605.6461","90312758750.4705","104797426772.516","111264830818.808","99157404834.6763","100492824698.762","108594744541.122","99609581601.6814","103698397207.933","105196983667.297","90904325789.4323","91761699778.2802","96469741701.8665","102805478192.084","102679769303.529","101627698331.051",
