"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59520000","62000000","67920000","83290000","111000000","131530000","132530000","133530000","134530000","135530000","136530000","137530000","138530000","139530000","140530000","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34288037600","37462427100","43848492900","51149586200","57029600800","86148822400","91879808100","80436757300","90942850400","117170960300","128456122200","130961614300","135030315300","139638865200","50313204900","45382180100","81788081200","103506328800","118773880100",
"Africa Western and Central","AFW","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","547500","28789000","76700000","159977000","553400000","2649300000","7634300000","24365238700","53155135200","92120460400","126086881300","152090945600","170189939800","229975396000","284969862900","349791585400","437658757700","538299943800","636968056000","682255656100","793094243800","1117539288700","1333370450000","1552905141700","1405560186400","2305048890000",
"Albania","ALB","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16243000000","15186000000","18180000000","20106000000","21641000000","23096000000","24826000000","27951000000","30816000000","35591000000","42807000000","51142000000","54010000000","59457000000","67587000000","73640000000","61502000000","68310000000","74311000000","81347000000","83702000000","95491000000","100385000000","105917000000","100120520000",
"Andorra","AND","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","531000000","853000000","2664000000","3159000000","3643000000","6026000000","11613000000","13567000000","13780000000","14035000000","13307000000","10312000000","11720000000","11773000000","12431000000","13948000000","14048000000","15100000000","16017000000","14342000000","16345000000","17926000000","22851000000","23987000000","26539000000","34762000000","50514000000","52685000000","55998000000","62499000000","70365000000","78774000000","85490000000","99641000000","85623000000","84603000000","99202000000","105490000000","107885000000","114940934900","116180000000","117808000000","129640378600","135420243100","134639002041.99","127626860077.542",
"Argentina","ARG","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","0.1984499991","0.2465600073","0.3027699888","0.3349199891","0.4008899927","0.3786000013","0.5953299999","1.0102599859","1.6236399412","2.2189700604","7.4146099091","40.0317001343","103.8949966431","241.8320007324","631.5230102539","1132","2150","6853","33580","234970","1572500","2737600","6415600","31097000","1004009984","18464000000","44114599900","49541099500","43138297900","45873469700","44502096300","47723427100","53382062500","53326264700","48089824700","46877339400","43241974900","63603071700","84529831700","91866330500","106839923900","127987889900","152911936800","190132679300","194474517800","263297367700","345390538600","401406098500","502616403800","676458297200","844444051100","1109816297900","1368258272900","2073141525900","3154755355600","4223679350200",
"Armenia","ARM","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","402103600000","441103100000","466754600000","464325500000","521153400000","591568300000","678235300000","766320600000","765644000000",
"American Samoa","ASM","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109000000","108000000","79000000","68000000","67000000","77000000","112000000","163000000","41000000","21000000","89000000","93000000","77000000","94000000","92000000","67000000","89000000","79000000","",
"Antigua and Barbuda","ATG","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","","","7135834","8997355","11065713","14168249","15099010","17374204","18201547","19949309","20942120","22234844","23817138","24923709","27695308","31240000","29530000","27760000","26370000","26900000","26700000","27780000","30180000","32790000","34940000","36400000","37610000","39960000","44040000","46080000","49480000","56820000","60060000","58760000","68360000","66880000","69000000","68360000","87380000","92960000","96830000","105790000","98720000","107300000","104920000","89930000",
"Australia","AUS","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55804000000","52194000000","53242000000","57185000000","61617000000","65029000000","67361000000","68440000000","73433000000","74218000000","76562000000","77653000000","79754000000","87170000000","93956000000","95555000000","98766000000","101053000000","108455000000","106554000000","104190000000","104478000000","105743000000","101534000000","101806000000","102262000000","100882000000","102018000000","106472000000","109283000000","111941000000",
"Austria","AUT","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","","12463068000","13389389000","14398802000","15337119000","16358669000","17062617000","17793193000","18886172000","19469673000","20884039000","21985508000","22145678000","23336802000","24833466000","26933568000","28271482000","28789311000","28098358000","29324640000","31623350000","32185990000","33599500000","34805910000","36470770000","38908350000","40446710000","40192860000","40467360000","42014610000","44228920000","47735520000","51552360000","51165880000","47129750000","48759330000","51467740000","53234570000","53431350000","55169040000","57458660000","60962910000","62210540000","64861010000","65763610000","61693230000",
"Azerbaijan","AZE","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51700","89000","1054500","5621500","47454800","246100000","285000000","265100000","286400000","228100000","249700000","328900000","450500000","617200000","706600000","812400000","1082200000","1413500000","1888700000","1967300000","2011900000","2077200000","2321800000","2452800000","2777800000","2713900000","2956400000","3305500000","3700100000","4097800000","4177700000",
"Burundi","BDI","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","1429000000","1622600000","1765300000","2271600000","2581300000","2843800000","3163700000","3884200000","4532400000","6552600000","5695700000","6377400000","7519300000","8406300000","9255900000","10169800000","10792700000","14805200000","14875400000","20647000000","22916000000","26927900000","19400000000","19200000000","21857000000","20635000000","16500000000","33403590400","41245204100","51497265500","68387051700","79537754600","85172200700","93808683600","115380420300","143600000000","135800000000","163000000000","183900000000","207983000000","231242778400","262752176500","297224370700","363931617700","423698080300","423344503600","458452709900","","","","",
"Belgium","BEL","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38595900000","38931800000","41233400000","42242700000","41936400000","44958100000","45044100000","45892200000","45555100000","47758100000","49205900000","48833000000","51750100000","49218500000","44757500000","48437800000","48609100000","48751500000","49356100000","50636100000","52893300000","53145400000","55315800000","55994800000","58796800000","56560900000",
"Benin","BEN","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","","","","","","","","","","","","10538000400","11462400000","12571700200","17008810000","17748299800","15344911400","16639010800","22555101200","22370201600","23664400400","23294609400","37900001300","36200009700","36400001000","37058998300","33226000400","33675999200","39237001200","37552001000","39360551900","40126044700","47205387100","47830214500","71464692000","87475188000","99950135400","112118752600","115684263800","298081388700","349586094900","419908233500","455159722500","488464029800","483401184700","542657097900","567328487200","537306258200","534751997800","559637185900","553891781300","591279591700","609338588300","675244867700","681293529600","675683000000","695708000000","709509105100","725850610900","831902640400","872765720400",
"Burkina Faso","BFA","Manufacturing, value added (current LCU)","NV.IND.MANF.CN","9127877600","9127877600","10346624000","10751713300","10955127800","11564501000","13591947300","16636540900","17650319400","19882827800","21099925500","23133894700","26786930700","28614316000","33484449800","36529045500","41392762900","45660872700","51139665900","59054280700","60069580800","69608267800","83001786400","97612398600","96395305000","92942999600","96540000300","106762002400","117400002600","120903999500","124537004000","118306996200","128591003600","128897998800","141509001200","167716913200","176895197200","205103824900","228365205500","337682716600","323748858200","349119192400","373191269200","428532023100","435273535000","432336192000","480379717000","523316623200","548548122800","602153706600","607264302600","661059545500","663264512400","675286555200","757018853200","812948000000","845723000000","840377000000","928963000000","949652563100","960243056400",
